No;Section;Journey
1;(Section) A. Tampilan Tampak Depan Outlet;(759166) Signage outlet terlihat dalam kondisi yang baik dan terawat
2;(Section) A. Tampilan Tampak Depan Outlet;(759167) Fasad tampak depan outlet terlihat dalam kondisi yang baik dan terawat
3;(Section) A. Tampilan Tampak Depan Outlet;(759168) [Khusus outlet stand alone] Lampu signage terlihat dalam kondisi menyala dan berfungsi dengan baik (Lampu fasad dan lampu totem)
4;(Section) A. Tampilan Tampak Depan Outlet;(759169) Di lihat dari luar, tampilan window display terlihat rapi, bersih, bebas dari sampah dan debu
5;(Section) A. Tampilan Tampak Depan Outlet;(759170) Area pintu masuk terlihat dalam keadaan bersih, rapi, terawat dan memudahkan pelanggan untuk masuk ke dalam outlet
6;(Section) A. Tampilan Tampak Depan Outlet;(759171) [Khusus outlet stand alone] Area parkir dalam keadaan bersih, rapi dan terawat
8;(Section) B. Sambutan Hangat Ketika Masuk ke Dalam Outlet;(759174) Retail Assistant melakukan kontak mata
9;(Section) B. Sambutan Hangat Ketika Masuk ke Dalam Outlet;"(759175) Retail Assistant menyapa ""Selamat Datang di EIGER"" ketika kontak pertama kali dengan pelanggan. Jika toko sedang ramai pengunjung, dimana jumlah pelanggan lebih banyak daripada jumlah Retail Assistant, maka Retail Assistant cukup tersenyum dan tidak perlu mengucapkan salam"
10;(Section) B. Sambutan Hangat Ketika Masuk ke Dalam Outlet;(759176) Retail Assistant terlihat tersenyum tulus selebar satu jari kepada Pelanggan
11;(Section) B. Sambutan Hangat Ketika Masuk ke Dalam Outlet;(759177) Retail Assistant dalam posisi tangan kanan diletakkan di dada sebelah kiri dan tangan kiri diletakkan di samping saku celana ketika menyambut Pelanggan
12;(Section) B. Sambutan Hangat Ketika Masuk ke Dalam Outlet;"(759178) Retail Assistant menghampiri pelanggan untuk menanyakan kebutuhan pelanggan (contoh: ""Ada yang bisa dibantu?"" atau ""Sedang cari produk apa Kak/Bu/Pak?"")"
13;(Section) B. Sambutan Hangat Ketika Masuk ke Dalam Outlet;(759179) Retail Assistant memberikan kesempatan kepada Pelanggan untuk melihat-lihat produk terlebih dahulu dan menjaga jarak aman yaitu minimal 1 meter dari Pelanggan
14;(Section) C. Suasana & Kenyamanan Outlet;(759181) Area display produk terlihat dalam kondisi bersih, rapi dan bebas dari debu
15;(Section) C. Suasana & Kenyamanan Outlet;(759182) Lemari display, furniture dan mannequins (patung display) terlihat dalam kondisi yang baik dan terawat
16;(Section) C. Suasana & Kenyamanan Outlet;(759183) Volume musik di toko masih dalam kondisi nyaman (tidak terlalu kencang/pelan, masih nyaman untuk berbicara dan berdiskusi)
17;(Section) C. Suasana & Kenyamanan Outlet;(759184) Produk yang dipajang dilengkapi dengan price tag
18;(Section) C. Suasana & Kenyamanan Outlet;(759185) Temperatur / suhu di dalam outlet terasa nyaman
19;(Section) C. Suasana & Kenyamanan Outlet;(759186) Produk apparel seperti kaos dan kemeja yang dipajang terlihat dalam kondisi rapi dan tidak kusut
20;(Section) C. Suasana & Kenyamanan Outlet;(759187) Penerangan dalam toko terlihat memadai dan tidak terlihat bola lampu yang padam
21;(Section) C. Suasana & Kenyamanan Outlet;(759188) Jalur jalan Pelanggan terlihat bersih, rapi dan bebas dari barang-barang yang tidak sesuai standar seperti tidak terdapat stepper, tangga, alat setrika, dst
22;(Section) C. Suasana & Kenyamanan Outlet;(759189) Dinding dan langit - langit toko terlihat dalam kondisi bersih, rapi, terawat dan bebas dari noda bocor, rembesan dan bebas dari sarang laba-laba dan dll
23;(Section) C. Suasana & Kenyamanan Outlet;(759190) TV yang menampilkan materi promosi pada toko dalam keadaan menyala
24;(Section) C. Suasana & Kenyamanan Outlet;(759191) Banner / Acrylic promo yang dipajang terlihat dalam kondisi yang baik dan rapi, bebas dari tempelan yang tidak rapi atau bebas dari coretan yang tidak sesuai standar
25;(Section) C. Suasana & Kenyamanan Outlet;(759192) Banner / Acrylic promo yang dipajang adalah materi promosi yang masih berlaku dan belum kadaluarsa
26;(Section) D. Penampilan Retail Assistant;(759194) Memakai seragam dengan rapi, bersih, tidak kusut, tidak lecek dan tidak pudar
27;(Section) D. Penampilan Retail Assistant;(759195) Memakai Lanyard dan ID Card. Tidak masalah jika ID Card terbalik
28;(Section) D. Penampilan Retail Assistant;(759196) Tampilan wajah sesuai dengan standar
29;(Section) D. Penampilan Retail Assistant;(759197) Memakai Sepatu Sneakers berwarna hitam (jika bukan produk Eiger), mengenakan kaos kaki dan dalam kondisi bersih. Untuk sepatu sneakers Eiger, boleh warna apa saja.
30;(Section) D. Penampilan Retail Assistant;(759198) Tatanan Rambut rapi sesuai ketentuan
31;(Section) D. Penampilan Retail Assistant;(759199) Jari dan kuku Retail Assistant pendek, bersih, rapi dan tidak memakai cat kuku
32;(Section) D. Penampilan Retail Assistant;(759200) Bebas dari bau badan, bau rokok dan bau mulut
33;(Section) D. Penampilan Retail Assistant;(759201) Penampilan terlihat bebas dari tato dan tindik (khusus pria). Retail Assistant yang memiliki tato perlu memastikan tato yang dimiliki tidak terlihat setelah memakai seragam. Retail Assistant Wanita diperkenankan memiliki 1 tindik per telinga.
34;(Section) E. Pelayanan Penjualan & Pengetahuan Produk;(759204) Retail Assistant mendengarkan dengan baik pertanyaan yang diajukan oleh Pelanggan
35;(Section) E. Pelayanan Penjualan & Pengetahuan Produk;(759206) [Diisi oleh Tim Morrigan] Retail Assistant memberikan jawaban yang benar dan relevan dengan pertanyaan Pelanggan
36;(Section) E. Pelayanan Penjualan & Pengetahuan Produk;(759207) Retail Assistant menginformasikan ketersediaan produk dengan benar sesuai permintaan Pelanggan
37;(Section) E. Pelayanan Penjualan & Pengetahuan Produk;(759208) Retail Assistant mempersilahkan Pelanggan untuk menunggu ketika mencarikan produk yang ditanyakan
38;(Section) E. Pelayanan Penjualan & Pengetahuan Produk;(759210) Retail Assistant menjelaskan keunggulan produk kepada Pelanggan secara spontan (tanpa ditanya/ tanpa dipancing)
39;(Section) E. Pelayanan Penjualan & Pengetahuan Produk;(759212) Retail Assistant menginformasikan mengenai garansi produk yang Pelanggan tanyakan mengenai produk Trekking Pole/Matras/Sleeping Bag/ Tas Quadriga 25 L yang Pelanggan tanyakan
40;(Section) E. Pelayanan Penjualan & Pengetahuan Produk;(759213) Retail Assistant terlihat bebas dari perilaku negatif selama kunjungan Pelanggan yaitu tidak terlihat sedang memainkan handphone /mengobrol / bergerombol / bercanda dengan staff lainnya / perilaku negatif lainnya
41;(Section) E. Pelayanan Penjualan & Pengetahuan Produk;(759214) Retail Assistant terkesan sopan saat melakukan layanan kepada Pelanggan (pilihan kata, bahasa tubuh, cara memanggil Pelanggan)
42;(Section) E. Pelayanan Penjualan & Pengetahuan Produk;(759215) Jika terdapat pengalihan penanganan, Retail Assistant EIGER telah menyerahkan permintaan Pelanggan dengan benar kepada Retail Assistant lain sebelum dia meninggalkan Pelanggan dengan Retail Assistant lain
44;(Section) F. Pengalaman Mencoba Produk;(759220) Retail Assistant menawarkan Pelanggan untuk mencoba produk yang diminati
45;(Section) F. Pengalaman Mencoba Produk;(759221) Retail Assistant menawarkan bantuan kepada Pelanggan untuk mencoba produk yang diminati
46;(Section) F. Pengalaman Mencoba Produk;(759222) Retail Assistant memberikan tanggapan / masukan yang relevan terhadap produk yang dicoba oleh Pelanggan
47;(Section) F. Pengalaman Mencoba Produk;(759223) Fitting room dalam keadaan bersih, rapi dan bisa digunakan
48;(Section) F. Pengalaman Mencoba Produk;(759224) Di dalam fitting room, tidak terdapat gantungan yang tersisa dari Pelanggan lain
49;(Section) F. Pengalaman Mencoba Produk;(759225) Cermin terlihat bersih dan tidak terdapat cap tangan
50;(Section) F. Pengalaman Mencoba Produk;(759226) Tidak terdapat sampah di lantai Fitting Room
51;(Section) F. Pengalaman Mencoba Produk;(759227) Pintu / Gordyn Fitting Room berfungsi dengan baik, bersih dan terawat
52;(Section) F. Pengalaman Mencoba Produk;(759228) Penerangan yang memadai dan tidak terdapat lampu yang mati di ruang Fitting Room
53;(Section) G. Rekomendasi untuk Membeli Produk;(759231) Retail Assistant menanyakan dengan sopan produk mana yang diminati oleh Pelanggan
54;(Section) G. Rekomendasi untuk Membeli Produk;(759233) Retail Assistant meminta Pelanggan untuk mengecek kembali produk yang akan dibeli
55;(Section) G. Rekomendasi untuk Membeli Produk;(759211) [Khusus produk yang Pelanggan minati] Retail Assistant menjelaskan cara perawatan produk secara spontan (tanpa ditanya/ tanpa dipancing)
56;(Section) G. Rekomendasi untuk Membeli Produk;(759235) Retail Assistant memberitahu Pelanggan tentang aktivitas promosi yang tersedia di toko (cukup salah satu promosi yang sedang berjalan di toko)
57;(Section) G. Rekomendasi untuk Membeli Produk;(759236) Retail Assistant bertanya apakah Pelanggan sudah memiliki member Eiger (EAC)
58;(Section) G. Rekomendasi untuk Membeli Produk;(759237) [Jika Customer BELUM menjadi member] Retail Assistant membantu memandu proses pendaftaran member baru menggunakan aplikasi EIGER Adventure Mobile Apps
59;(Section) G. Rekomendasi untuk Membeli Produk;(759243) [Jika Pelanggan BELUM menjadi member] Retail Assistant menjelaskan perihal manfaat menjadi member
60;(Section) G. Rekomendasi untuk Membeli Produk;(759239) Retail Assistant memberikan nomor transaksi supaya bisa melanjutkan ke pembayaran
63;(Section) H. Pembelian Produk & Pembayaran di Kasir;(759247) Kasir dalam posisi siap untuk melayani
64;(Section) H. Pembelian Produk & Pembayaran di Kasir;"(759248) Kasir mengucapkan salam dan melakukan kontak mata ketika akan memulai proses transaksi. Contoh: ""Silakan Kak/Pak/Bu"""
65;(Section) H. Pembelian Produk & Pembayaran di Kasir;(759249) Kasir menerima nomor transaksi dari Pelanggan dengan menggunakan kedua tangan
66;(Section) H. Pembelian Produk & Pembayaran di Kasir;(759250) Kasir mengkonfirmasi barang yang dibeli - jenis produk (tas/sepatu/jam tangan/T-shirt/Celana) - jumlah item yang dibeli - warna - size - informasi barang diskon (diinformasikan tidak masuk perhitungan EAC)
67;(Section) H. Pembelian Produk & Pembayaran di Kasir;(759251) Kasir menanyakan kepemilikan member EAC
68;(Section) H. Pembelian Produk & Pembayaran di Kasir;(759252) [Jika Pelanggan sudah menjadi member] Kasir meminta izin untuk melakukan proses scan member pada handphone Pelanggan
69;(Section) H. Pembelian Produk & Pembayaran di Kasir;(759253) Kasir menjelaskan program promosi/potongan harga produk yang akan ditransaksikan
70;(Section) H. Pembelian Produk & Pembayaran di Kasir;(759254) Kasir melakukan stempel pada kartu garansi beserta menulis tanggal transaksi dan memberikan kartu garansi kepada Pelanggan
71;(Section) H. Pembelian Produk & Pembayaran di Kasir;(759255) Kasir menginformasikan harga total transaksi kepada Pelanggan
72;(Section) H. Pembelian Produk & Pembayaran di Kasir;(759256) Jika terdapat perbedaan harga antara Price Tag dan POS Kasir, maka Kasir meminta maaf dan mentransaksikan pembelian dengan harga yang lebih rendah
73;(Section) H. Pembelian Produk & Pembayaran di Kasir;(759257) Kasir bertanya apakah Pelanggan membawa bag sendiri. Jika Pelanggan tidak membawa, Kasir menginformasikan bahwa tidak ada penggunaan plastik belanja dan menginformasikan harga paperbag, memastikan Pelanggan setuju/tidak:  - Jika Pelanggan setuju, maka Kasir input di POS  - Jika tidak setuju maka menginformasikan bahwa Eiger tidak menyediakan kantong belanja
74;(Section) H. Pembelian Produk & Pembayaran di Kasir;(759258) [Jika membayar menggunakan uang tunai / cash] Kasir mengkonfirmasi jumlah uang tunai yg diterima dan menghitung jumlah uang tunai di depan Pelanggan sebelum melanjutkan ke proses berikutnya.
75;(Section) H. Pembelian Produk & Pembayaran di Kasir;(759259) [Pembayaran dengan non tunai] Kasir meminta kartu debit/kredit/menyerahkan QR Code dan menyebutkan jumlah nominal yang harus dibayarkan kemudian melakukan proses transaksi
76;(Section) H. Pembelian Produk & Pembayaran di Kasir;(759260) Kasir menggunakan kedua tangan saat menyerahkan uang kembalian / kartu dan struk belanja
77;(Section) H. Pembelian Produk & Pembayaran di Kasir;(759261) Kasir menjelaskan secara lisan penukaran produk dengan jelas
78;(Section) H. Pembelian Produk & Pembayaran di Kasir;"(759267) Kasir melakukan salam penutup ""Terima kasih Kak/Bapak/Ibu...ditunggu kedatangannya kembali"""
79;(Section) H. Pembelian Produk & Pembayaran di Kasir;(759262) Kasir melakukan gestur yang sesuai untuk salam penutup: Meletakan tangan di dada sebelah kiri
80;(Section) H. Pembelian Produk & Pembayaran di Kasir;(759263) Kasir tersenyum 1 jari
81;(Section) H. Pembelian Produk & Pembayaran di Kasir;"(759265) Terdapat POP Acrylic ""Pembelanjaan Gratis jika tidak mendapatkan struk"""
82;(Section) H. Pembelian Produk & Pembayaran di Kasir;(759266) Area Kasir terlihat dalam kondisi bersih, bebas dari debu, rapi dan tidak berantakan serta bebas dari barang-barang pribadi
83;(Section) I. Penampilan Kasir;(759270) Memakai seragam dengan rapi, bersih, tidak kusut, tidak lecek dan tidak pudar
84;(Section) I. Penampilan Kasir;(759271) Memakai Lanyard dan ID Card. Tidak masalah jika ID Card terbalik
85;(Section) I. Penampilan Kasir;(759272) Tampilan wajah sesuai dengan standar
86;(Section) I. Penampilan Kasir;(759273) Memakai Sepatu Sneakers berwarna hitam (jika bukan produk Eiger), mengenakan kaos kaki dan dalam kondisi bersih. Untuk sepatu sneakers Eiger, boleh warna apa saja
87;(Section) I. Penampilan Kasir;(759274) Tatanan Rambut rapi sesuai ketentuan
88;(Section) I. Penampilan Kasir;(759275) Jari dan kuku Retail Assistant pendek, bersih, rapi dan tidak memakai cat kuku
89;(Section) I. Penampilan Kasir;(759276) Bebas dari bau badan, bau rokok dan bau mulut
90;(Section) I. Penampilan Kasir;(759277) Penampilan terlihat bebas dari tato dan tindik (khusus pria). Retail Assistant yang memiliki tato perlu memastikan tato yang dimiliki tidak terlihat setelah memakai seragam. Retail Assistant Wanita diperkenankan memiliki 1 tindik per telinga
91;(Section) J. Toilet (Khusus Store yang memiliki toilet );(759280) Toilet dalam keadaan bersih, rapi dan tidak berbau
92;(Section) J. Toilet (Khusus Store yang memiliki toilet );(759281) Closet, Flush dan Jetspray berfungsi dengan baik dan bisa digunakan
93;(Section) J. Toilet (Khusus Store yang memiliki toilet );(759282) Tersedia perlengkapan di Toilet : sabun cair
94;(Section) J. Toilet (Khusus Store yang memiliki toilet );(759283) Tersedia perlengkapan di Toilet : tisue toilet dengan kondisi rapi, bersih dan disimpan pada tempatnya
95;(Section) J. Toilet (Khusus Store yang memiliki toilet );(759284) Tersedia perlengkapan di Toilet : tempat sampah dengan kondisi bersih dan tidak penuh
96;(Section) K. Salam Perpisahan oleh Retail Asisstant;"(759287) Retail Assistant melakukan salam penutup ""Terima kasih Kak/Bapak/Ibu...ditunggu kedatangannya kembali"""
97;(Section) K. Salam Perpisahan oleh Retail Asisstant;(759288) Retail Assistant  melakukan gestur yang sesuai untuk salam penutup: Meletakan tangan di dada sebelah kiri
98;(Section) K. Salam Perpisahan oleh Retail Asisstant;(759289) Retail Assistant  tersenyum 1 jari
